Shipping Bill No,Shipping Bill Date,IEC,EXPORTER,EXPORTER_ADDRESS_&_CITY,City,PIN,State,CONTACT_NO,E_MAIL_ID,CONSINEE,CONSINEE_ADDRESS,PORT_CODE,FOREIGN_PORT,FOREIGN_COUNTRY,HS_CODE,CHAPTER,PRODUCT_DESCRIPITION,QUANTITY,UNIT_QUANTITY,ITEM_RATE_IN_FC Very Imp. Some time Unit rate is from 1 unit to 1000 unit,CURRENCY,Total_Value_IN_FC,Unit_Rate_In_USD_(Exchange),Exchange_Rate_(USD),Total_Value_IN_USD_(Exchange),Unit Rate in INR,FOB In INR,INVOICE_SERIAL_NUMBER,INVOICE_NUMBER,ITEM_NUMBER,DRAWBACK,MONTH,YEAR,MODE,INDIAN_PORT,CUSH
2355442,2020-04-01,1012001181,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU,","THRISSUR,KERALA",PIN-680005,N?A,N?A,N?A,M/S AL TAYEB DISTRIBUTION LLC,N?A,N?A,Jebel Ali,UNITED ARAB EMIRATES,19041090,19,SAMPLE FOR HEALTH INSPECTION  ,0.01,KGS,0,USD,0,0,74.65,0,0,0,N?A,7102000944,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355468,2020-04-01,1012001181,MANJILAS FOOD TECH PRIVATE LIMITED,"TC-16/1382,  SASTHRI ROAD, NELLIKUNNU,","THRISSUR,KERALA",PIN-680005,N?A,N?A,N?A,M/S AL TAYEB DISTRIBUTION LLC,N?A,N?A,Jebel Ali,UNITED ARAB EMIRATES,19041090,19,SAMPLE FOR HEALTH INSPECTION  ,0.01,KGS,0,USD,0,0,74.65,0,0,0,N?A,7102000943,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355913,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Evyap Pt,TURKEY,72221992,72,SS BAR HR NOT CIRCULAR Ni Cr ( GRADE AISI 316 ) ,0.409,MTS,2965.49,USD,1212.88541,2921.796747,74.65,1195.014869,218112.1271,89207.86,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353849,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Durban,SOUTH AFRICA,72223012,72,SS BRIGHT BAR PEELED NI CR ( GRADE AISI 316/316L ) ,0.482,MTS,3026.37,USD,1458.71034,2981.771087,74.65,1437.213664,222589.2116,107288,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353568,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Altamira,MEXICO,72222011,72,SS BRIGHT BAR COLD DRAWN Cr ( GRADE AISI 416 ) ,0.53,MTS,1310.24,USD,694.4272,1290.937077,74.65,684.196651,96368.45283,51075.28,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353844,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Kaohsiung,TAIWAN,72223012,72,SS BRIGHT BAR PEELED NI CR ( GRADE AISI 316L ) ,0.66,MTS,3051.84,USD,2014.2144,3006.867807,74.65,1984.532753,224462.6818,148145.37,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353568,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Altamira,MEXICO,72222012,72,SS BRIGHT BAR COLD DRAWN Ni Cr ( GRADE AISI 304L ) ,0.69,MTS,1960.51,USD,1352.7519,1931.625072,74.65,1332.821299,144195.8116,99495.11,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353568,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Altamira,MEXICO,72223012,72,SS BRIGHT BAR PEELED NI CR ( GRADE AISI 303 ) ,0.772,MTS,2280.8,USD,1760.7776,2247.195375,74.65,1734.834829,167753.1347,129505.42,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353567,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Buenos Aires,ARGENTINA,72223011,72,SS BRIGHT BAR PEELED Cr ( GRADE AISI 420 ) ,0.864,MTS,1387.41,USD,1198.72224,1366.962957,74.65,1181.055995,102043.7847,88165.83,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353844,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Kaohsiung,TAIWAN,72223011,72,SS BRIGHT BAR PEELED Cr ( GRADE AISI 403 ) ,0.89,MTS,1300.79,USD,1157.7031,1281.618339,74.65,1140.640322,95672.80899,85148.8,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2353845,2020-04-01,300063679,VIRAJ PROFILES LTD,"10, IMPERIAL CHAMBERS, 1ST FLOOR,WILSON ROAD, BALLARD ESTATE,  ","MUMBAI, MAHARASHTRA.",400038,N?A,N?A,N?A,TO ORDER,N?A,N?A,Incheon,"KOREA,REPUBLIC OF",72223012,72,SS BRIGHT BAR PEELED NI CR ( GRADE ASTM 316L ) ,0.96,MTS,3029.48,USD,2908.3008,2984.838134,74.65,2865.444608,222818.1667,213905.44,N?A,N/A,N?A,N?A,Apr-20,2020,ICD,TARAPUR ICD (INBNG6),INBNG6
2355151,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :6279562 DTD 30.12.2019 (QTY:56 PCS)  5919838 DT:03.12.2019(QTY: 84PCS) 5210940 DTD09.10.2019(QTY:35PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-043,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5954747 DTD 05.12.2019 (QTY:16 PCS)  5966074 DT:06.12.2019(QTY: 16PCS) 6112680 DTD17.12.2019(QTY:8PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355152,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5945155DTD04.12.2019(Q TY:19 PCS)  5944815 DT:04.12.2019(QTY:19 PCS) 6231744 DTD26.12.2019(QTY:14PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-066,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5564574 DTD 05.11.2019 (QTY:5 PCS)  5564224 DT:05.11.2019(QTY:5 PCS) 5846858 DTD27.11.2019(QTY:19PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :6261531 DTD 27.12.2019 (QTY:3 PCS)  6271215 DT:28.12.2019(QTY:1 6PCS) 4670406 DTD28.08.2019(QTY:1PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355152,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :6044471DTD12.12.2019(Q TY:7 PCS)  6248009 DT:26.12.2019(QTY:47P CS) 6024797 DTD10.12.2019(QTY:21PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-066,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5032637 DTD 24.09.2019 (QTY:1 PCS)  5483337 DT:30.10.2019(QTY:1 PCS) 6258220 DTD27.12.2019(QTY:1PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5463209 DTD 28.10.2019 (QTY:7 PCS)  5564247 DT:05.11.2019(QTY:6 PCS) 5564223 DTD05.11.2019(QTY:6PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :6112677 DTD 17.12.2019 (QTY:8 PCS)  6258157 DT:27.12.2019(QTY:8 PCS) 6258156 DTD27.12.2019(QTY:5PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355152,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :6249221DTD26.12.2019(Q TY:9 PCS)  6248005 DT:26.12.2019(QTY:6PC S) 5944313 DTD04.12.2019(QTY:10PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-066,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5615900 DTD09.11.2019( QTY:5 PCS)  5707684 DT:16.11.2019(QTY:5P CS) 5656850 DTD13.11.2019(QTY:3PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355213,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5708550 DTD16.11.2019( QTY:3 PCS)  5787375 DT:22.11.2019(QTY:5P CS) 5786887 DTD22.11.2019(QTY:5PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-065,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
2355152,2020-04-01,488001391,MRF LIMITED,"124  GREAMS ROAD,  ","CHENNAI, TAMILNADU-",600006,N?A,N?A,N?A,M/S.HAYLEYS FREE ZONE LIMITED,N?A,N?A,Colombo,SRI LANKA,73102990,73,IMPORTED VIDE BE :5931477DTD03.12.2019(Q TY:8 PCS)  5931778 DT:03.12.2019(QTY:8PC S) 5931482 DTD03.12.2019(QTY:5PCS),1,PCS,0,USD,0,0,74.65,0,0,0,N?A,MRF/GPK/RE-066,N?A,N?A,Apr-20,2020,Sea,COCHIN SEA (INCOK1),INCOK1
